STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
A & N Islands,166,69,22,136,0,136,108,89,19,16,0,75,934,1161,87,1074,140,77,278,11,100,1160,7,259,51,130,0,48,4766
Andhra Pradesh,34240,24669,1933,15114,2,15112,23358,16531,6827,2112,85,8314,107156,318222,81684,236538,29403,13683,111858,3347,12900,607053,6707,58929,40833,134091,17,152076,530896
Arunachal Pradesh,910,453,39,575,0,575,999,644,355,284,4,918,2976,5692,1229,4463,376,530,592,52,273,5655,2,877,21,196,0,874,8130
Assam,16786,6241,772,18115,5,18110,32740,27142,5598,4416,262,8390,39043,95990,19208,76782,37392,9874,14949,982,8711,77354,1446,16029,126,48024,10,33269,214029
Bihar,44686,44808,3931,14252,2,14250,42790,23808,18982,11678,1318,25187,44478,174795,41386,133409,117027,17212,35172,1108,9169,224941,14730,7907,278,30213,447,48674,598947
Chandigarh,265,351,82,326,0,326,901,708,193,42,34,459,3205,19993,10069,9924,809,436,2585,28,70,875,43,457,169,899,0,104,12751
Chhattisgarh,13005,8557,372,13218,0,13218,5580,4511,1069,1515,173,5464,48183,68062,22602,45460,11683,1842,7973,618,3475,95572,1251,21426,1905,10754,6,28636,268627
D & N Haveli,111,33,4,61,0,61,154,105,49,41,0,30,409,831,315,516,267,164,181,15,73,333,1,51,5,39,0,164,1998
Daman & Diu,77,39,6,28,0,28,44,21,23,40,1,24,499,602,367,235,277,70,92,31,42,204,3,17,2,37,0,346,713
Delhi,6722,5862,948,8060,0,8060,31377,19259,12118,414,1245,7706,26390,261670,141933,119737,1109,5112,29027,586,661,23978,1726,11049,2603,18244,1,9281,259587
